year,month,tot_cases,tot_deaths
2020,1,17,0
2020,2,190,0
2020,3,78855,1631
2020,4,3183725,176291
2020,5,5861324,367445
2020,6,8308351,472592
2020,7,17280119,695676
2020,8,21203882,680456
2020,9,25962357,779384
2020,10,39788625,1095919
2020,11,44209245,1009956
2020,12,84653556,1591662
2021,1,94585997,1635429
2021,2,109886306,1955998
2021,3,117235708,2150196
2021,4,156318793,2833441
2021,5,131194373,2351785
2021,6,133422057,2405142
2021,7,170262925,3052487
2021,8,147197102,2507374
2021,9,207506198,3368483
2021,10,179523475,2926066
2021,11,188251068,3072800
2021,12,253501326,4033810
2022,1,263358785,3432829
2022,2,310590244,3689496
2022,3,398533055,4847166
2022,4,322910242,3959341
2022,5,330653508,3999077
2022,6,429670026,5047914
2022,7,358041783,4083993
2022,8,371146672,4135164
2022,9,476769279,5242548
2022,10,387457035,4247319
2022,11,391878846,4288174
2022,12,498322721,5416781
2023,1,406465332,4391025
2023,2,411267166,4445942
2023,3,518960347,5608096
2023,4,417625113,4515808
