State and area;Year;Month;Employment;Unemployment
Alabama;1976;01;1386023   ;98.532   
Alaska;1976;01;148.820   ;11.363   
Arizona;1976;01;865.871   ;98.249   
Arkansas;1976;01;824.395   ;64.649   
California;1976;01;8875685   ;898.595   
Los Angeles County;1976;01;3081806   ;300.050   
Colorado;1976;01;1160104   ;70.862   
Connecticut;1976;01;1301974   ;140.873   
Delaware;1976;01;240.543   ;20.875   
District of Columbia;1976;01;305.677   ;29.014   
Florida;1976;01;3238460   ;346.416   
Georgia;1976;01;2056467   ;188.303   
Hawaii;1976;01;367.586   ;39.871   
Idaho;1976;01;345.182   ;20.424   
Illinois;1976;01;4786415   ;337.194   
Indiana;1976;01;2265849   ;159.497   
Iowa;1976;01;1272281   ;57.517   
Kansas;1976;01;1020396   ;44.663   
Kentucky;1976;01;1402625   ;83.925   
Louisiana;1976;01;1421440   ;95.908   
Maine;1976;01;433.260   ;41.111   
Maryland;1976;01;1777055   ;122.282   
Massachusetts;1976;01;2432377   ;284.719   
Michigan;1976;01;3562759   ;390.092   
Minnesota;1976;01;1719817   ;109.565   
Mississippi;1976;01;899.280   ;64.331   
Missouri;1976;01;1969511   ;124.552   
Montana;1976;01;313.402   ;19.388   
Nebraska;1976;01;687.431   ;23.665   
Nevada;1976;01;291.933   ;29.646   
New Hampshire;1976;01;365.509   ;25.425   
New Jersey;1976;01;2954259   ;339.861   
New Mexico;1976;01;439.744   ;41.586   
New York;1976;01;6872159   ;786.811   
New York city;1976;01;2723016   ;343.589   
North Carolina;1976;01;2424106   ;166.607   
North Dakota;1976;01;267.268   ;9.525   
Ohio;1976;01;4368782   ;386.076   
Oklahoma;1976;01;1116824   ;69.374   
Oregon;1976;01;976.450   ;102.195   
Pennsylvania;1976;01;4710510   ;412.223   
Rhode Island;1976;01;406.706   ;34.273   
South Carolina;1976;01;1200437   ;95.430   
South Dakota;1976;01;297.972   ;10.059   
Tennessee;1976;01;1723616   ;110.578   
Texas;1976;01;5294695   ;328.608   
Utah;1976;01;487.063   ;30.262   
Vermont;1976;01;196.968   ;18.607   
Virginia;1976;01;2187531   ;142.628   
Washington;1976;01;1448543   ;134.527   
West Virginia;1976;01;657.179   ;52.965   
Wisconsin;1976;01;2005997   ;122.896   
Wyoming;1976;01;169.014   ;7.200   
Alabama;1976;02;1385675   ;98.275   
Alaska;1976;02;148.718   ;11.304   
Arizona;1976;02;865.215   ;98.179   
Arkansas;1976;02;824.008   ;64.763   
California;1976;02;8871553   ;897.332   
Los Angeles County;1976;02;3081497   ;299.721   
Colorado;1976;02;1160001   ;70.679   
Connecticut;1976;02;1301107   ;141.011   
Delaware;1976;02;240.545   ;20.780   
District of Columbia;1976;02;305.759   ;29.008   
Florida;1976;02;3237372   ;346.598   
Georgia;1976;02;2055366   ;188.413   
Hawaii;1976;02;367.403   ;39.982   
Idaho;1976;02;344.916   ;20.379   
Illinois;1976;02;4785460   ;336.777   
Indiana;1976;02;2264552   ;159.835   
Iowa;1976;02;1271866   ;57.645   
Kansas;1976;02;1019842   ;44.629   
Kentucky;1976;02;1402206   ;83.904   
Louisiana;1976;02;1421064   ;95.531   
Maine;1976;02;433.173   ;41.099   
Maryland;1976;02;1776509   ;122.002   
Massachusetts;1976;02;2431016   ;285.245   
Michigan;1976;02;3560591   ;390.958   
Minnesota;1976;02;1719004   ;109.513   
Mississippi;1976;02;899.114   ;64.219   
Missouri;1976;02;1968522   ;124.327   
Montana;1976;02;313.365   ;19.321   
Nebraska;1976;02;687.121   ;23.649   
Nevada;1976;02;291.651   ;29.672   
New Hampshire;1976;02;365.177   ;25.409   
New Jersey;1976;02;2953668   ;339.487   
New Mexico;1976;02;439.486   ;41.617   
New York;1976;02;6871169   ;785.540   
New York city;1976;02;2722421   ;343.009   
North Carolina;1976;02;2422974   ;166.940   
North Dakota;1976;02;267.143   ;9.472   
Ohio;1976;02;4368157   ;386.807   
Oklahoma;1976;02;1116531   ;69.315   
Oregon;1976;02;975.742   ;102.020   
Pennsylvania;1976;02;4709350   ;412.813   
Rhode Island;1976;02;406.719   ;34.231   
South Carolina;1976;02;1200235   ;95.417   
South Dakota;1976;02;297.878   ;10.038   
Tennessee;1976;02;1722558   ;110.411   
Texas;1976;02;5291252   ;328.573   
Utah;1976;02;486.695   ;30.283   
Vermont;1976;02;196.846   ;18.621   
Virginia;1976;02;2187080   ;142.523   
Washington;1976;02;1447552   ;134.089   
West Virginia;1976;02;657.268   ;52.984   
Wisconsin;1976;02;2005096   ;122.930   
Wyoming;1976;02;168.813   ;7.201   
Alabama;1976;03;1386793   ;97.448   
Alaska;1976;03;148.935   ;11.189   
Arizona;1976;03;865.905   ;97.651   
Arkansas;1976;03;823.855   ;64.702   
California;1976;03;8875700   ;892.831   
Los Angeles County;1976;03;3083346   ;298.333   
Colorado;1976;03;1159916   ;69.991   
Connecticut;1976;03;1301919   ;140.666   
Delaware;1976;03;240.523   ;20.783   
District of Columbia;1976;03;305.939   ;28.830   
Florida;1976;03;3238803   ;345.091   
Georgia;1976;03;2056476   ;187.844   
Hawaii;1976;03;367.608   ;39.968   
Idaho;1976;03;344.962   ;20.358   
Illinois;1976;03;4787596   ;336.318   
Indiana;1976;03;2265615   ;158.390   
Iowa;1976;03;1272124   ;57.435   
Kansas;1976;03;1020044   ;44.597   
Kentucky;1976;03;1402586   ;83.673   
Louisiana;1976;03;1420882   ;95.607   
Maine;1976;03;433.462   ;40.978   
Maryland;1976;03;1776482   ;121.540   
Massachusetts;1976;03;2430783   ;284.332   
Michigan;1976;03;3562811   ;390.883   
Minnesota;1976;03;1720108   ;108.497   
Mississippi;1976;03;900.093   ;63.417   
Missouri;1976;03;1969025   ;124.289   
Montana;1976;03;313.352   ;19.208   
Nebraska;1976;03;687.236   ;23.391   
Nevada;1976;03;291.820   ;29.580   
New Hampshire;1976;03;365.391   ;25.425   
New Jersey;1976;03;2955302   ;339.313   
New Mexico;1976;03;439.624   ;41.684   
New York;1976;03;6874360   ;782.659   
New York city;1976;03;2722931   ;341.936   
North Carolina;1976;03;2424774   ;166.277   
North Dakota;1976;03;267.177   ;9.456   
Ohio;1976;03;4369756   ;385.978   
